Product Lines,,,,,,,
,,,,,,,
update,segment_var_name,_bm_pline_name,_bm_pline_description,_bm_pline_hide,pline_variable,security_,guid
add,familyCenturyLink,BSG MISSION CONTROL,All model admin will be performed in this Product Line which will not be visible to the Sales User,0,lineCtlBsgMissionControl,,
add,familyCenturyLink,Bundles,,0,lineCtlBundles,,
add,familyCenturyLink,Contact Center,,0,lineCtlContactCenter,,
add,familyCenturyLink,High Speed Internet,,0,lineCtlHighSpeedInternet,,
add,familyCenturyLink,CPE and Pro Svcs,,0,lineCtlCPEAndProSvcs,,
add,familyCenturyLink,Hosting and Cloud Computing,,0,lineCtlHostingAndCloudComputing,,
add,familyCenturyLink,IP Voice,,0,lineCtlIPVoice,,
add,familyCenturyLink,IQ Networking,,0,lineCtlIQNetworking,,
add,familyCenturyLink,IQ Security,,0,lineCtlIQSecurity,,
add,familyCenturyLink,IT Services,,0,lineCtlITServices,,
add,familyCenturyLink,Legacy WAN,,0,lineCtlLegacyWAN,,
add,familyCenturyLink,Local Voice,,0,supsLocalVoice,,
add,familyCenturyLink,Long Distance,,0,lineCtlLongDistance,,
add,familyCenturyLink,Other Data,,0,lineCtlOtherData,,
add,familyCenturyLink,Private Line Ethernet,,0,lineCtlPrivateLineEthernet,,
add,familyCenturyLink,Video,,0,lineCtlVideo,,
add,familyCenturyLink,Voice Services,,0,lineCtlVoiceServices,,
