Configuration Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
update,ref_var_name,ref_type,ref_category,config_category,name: en,name: fr_CA,description: en,description: fr_CA,variable_name,menu_type,data_type,display_type,set_type,required,hidden,default_value,validation_type,item_level_process,auto_lock,cons_values_display,status,hide_in_trans,additional,start_date,end_date,order_number,is_array_attr,is_array_control_attr,pricing_type,pricing_display_type,is_display_pricing_at_bottom,include_in_total_price,guid,set_variable_name,menu_display_text: en,menu_display_text: fr_CA,menu_item_price: USD,menu_item_price: EUR,menu_item_price: CAD,menu_item_price: GBP,menu_item_price: AUD,menu_item_price: CNY,menu_item_price: DKK,menu_item_price: HKD,menu_item_price: INR,menu_item_price: JPY,menu_item_price: KRW,menu_item_price: PHP,menu_item_price: SGD,menu_item_price: SEK,menu_item_price: TWD,menu_item_price: BRL,menu_variable_name,menu_item_images
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,A Location,,,,ctlAlocationHTMLArrAtt,FALSE,Text,Text Area,None,FALSE,FALSE,en:~fr_CA:,None,TRUE,FALSE,Marked,Active,FALSE,text_area_cols:20~text_area_rows:5,,,1,TRUE,FALSE,None,None,FALSE,FALSE,f1d87ef3-7058-418e-9879-5ee287c9a638,ctlAlocationHTMLArrAtt,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,A Location Selected,,,,ctlALocationTargetArrAtt,FALSE,Text,Text,None,FALSE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,FALSE,,,,2,TRUE,FALSE,None,None,FALSE,FALSE,ca729240-3087-4cfc-a6ee-f0129e3dfde7,ctlALocationTargetArrAtt,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,A Location Previous,,,,ctlALocationPrevious,FALSE,Text,Text,None,FALSE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,FALSE,,,,3,TRUE,FALSE,None,None,FALSE,FALSE,91df3b22-f5b7-471c-961c-97369fdf4796,ctlALocationPrevious,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Z Location,,,,ctlZLocationHTMLArrAtt,FALSE,Text,Text Area,None,FALSE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,FALSE,text_area_cols:20~text_area_rows:5,,,4,TRUE,FALSE,None,None,FALSE,FALSE,e76f93f2-9575-4cf7-a0ff-6bf4d1a62f73,ctlZLocationHTMLArrAtt,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Z Location Selected,,,,ctlZLocationTargetArrAtt,FALSE,Text,Text,None,FALSE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,FALSE,,,,5,TRUE,FALSE,None,None,FALSE,FALSE,6e38c911-f597-4fbb-8a66-e55d9129bd07,ctlZLocationTargetArrAtt,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Z Location Previous,,,,ctlZLocationPrevious,FALSE,Text,Text,None,FALSE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,FALSE,,,,6,TRUE,FALSE,None,None,FALSE,FALSE,899b93fa-dd10-48db-b2a5-8902f0caa0ed,ctlZLocationPrevious,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,ELINE LH IXC Array Control Attr,,,,ctleLINELHIXCArrayControlAttr,FALSE,Integer,Text,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,,,,7,FALSE,FALSE,None,None,FALSE,FALSE,32704d86-8cc4-4f8b-8f2f-154618614121,,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Circuit Speed,,,,ctlCircuitSpeed,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,8,TRUE,FALSE,None,None,FALSE,FALSE,f2235a38-ccb2-4142-8ec2-8ef794f57e2d,ctlCircuitSpeed,5 Mbps~10 Mbps~20 Mbps~50 Mbps~100 Mbps~150 Mbps~200 Mbps~300 Mbps~400 Mbps~500 Mbps~600 Mbps~700 Mbps~800 Mbps~900 Mbps~1000 Mbps,,,,,,,,,,,,,,,,,,5 Mbps~10 Mbps~20 Mbps~50 Mbps~100 Mbps~150 Mbps~200 Mbps~300 Mbps~400 Mbps~500 Mbps~600 Mbps~700 Mbps~800 Mbps~900 Mbps~1000 Mbps,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Type,,,,CtlElineType,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,9,TRUE,FALSE,None,None,FALSE,FALSE,d818d9be-53c6-462a-bfcc-f4efe3a0b6af,CtlElineType,Point To Point~Hub~Connects to Hub,,,,,,,,,,,,,,,,,,Point To Point~Hub~Connects to Hub,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Category,,,,ctlCategoryA,TRUE,Text,Single Select Menu,None,FALSE,FALSE,CLPA,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,10,TRUE,FALSE,None,None,FALSE,FALSE,0ceaf8af-7af7-48f7-b4d8-961a7428fad1,ctlCategoryA,CLPA,,,,,,,,,,,,,,,,,,CLPA,
