Models,,,,,,,,,,,,
,,,,,,,,,,,,
update,segment_var_name,pline_variable,_bm_model_name,_bm_model_description,_bm_model_hide,_bm_model_modelsBefore,_bm_model_modelsAfter,_bm_model_image,_bm_model_descriptionLocation,model_variable,security_,guid
add,familyCenturyLink,lineCtlBsgMissionControl,Generic Lite Model V2,Dummy Model - Used as a container to display punchins.,1,,,,shown,genericLiteModelV2,,LEGACY-721075899
add,familyCenturyLink,lineCtlBsgMissionControl,Model1,,0,,,,shown,model1,,LEGACY-721075901
add,familyCenturyLink,lineCtlBsgMissionControl,Model2,,0,,,,shown,model2,,LEGACY-721075903
add,familyCenturyLink,lineCtlBsgMissionControl,Generic Lite V3,,0,,,,shown,genericLiteV3,,sbcenturylink_724806157
add,familyCenturyLink,lineCtlBsgMissionControl,General Information Step 1,,0,,,,shown,generalInformationStep1,,int1centurylink_729444178
add,familyCenturyLink,lineCtlContactCenter,Contact Center Lite Model,Dummy model - used as a container to display punchins.,1,"liteEZRoute,liteHostedIVR,liteInteractionRouting,liteNotify,selectorOne,selectorTwo",,,hidden,modelCntnrContactCenterLite,,LEGACY-721075498
add,familyCenturyLink,lineCtlHighSpeedInternet,High Speed Internet Lite Model,Dummy Model - Used as a container to display punchins.,1,"liteCoreConnectPackage,liteHighSpeedInternet",,,hidden,modelCntnrHighSpeedInternetLite,,LEGACY-721075500
add,familyCenturyLink,lineCtlCPEAndProSvcs,CPE and Pro Svcs Lite Model,Dummy Model - Used as a container to display punchins.,1,"liteCPE,
liteCPEMaintenance,
liteProSvcs,
nwxCPEMaintenance,
nwxProSvcs",,,hidden,modelCntnrCpeAndProSvcsLite,,LEGACY-721075873
add,familyCenturyLink,lineCtlHostingAndCloudComputing,Hosting and Cloud Computing Lite Model,Dummy Model - Used as a container to display punchins.,1,"liteBackup,
liteCloudCompute,
liteColocation,
liteInternetHan,
liteManagedApplications,
litePrivateLineHan,
liteProserve,
liteSecurityServices,
liteStorage,
liteTraditionalHosting,
liteUtilityAndVirtualizedServices,
liteVpn,
liteWanOptimization
liteColocationCtl,
liteManagedApplicationsCtl,
nwxHosting",,,hidden,modelCntnrHostingAndCloudComputingLite,,LEGACY-721075875
add,familyCenturyLink,lineCtlIPVoice,IP Voice Lite Model,Dummy Model - Used as a container to display punchins.,1,"liteIntegratedAccess,
liteManagedIPCommunications,
liteManagedVoIP,
liteSIPTrunk,
liteHostedVoIP,nwxIntegratedAccess",,,hidden,modelCntnrIPVoiceLite,,LEGACY-721075877
add,familyCenturyLink,lineCtlIQNetworking,IQ Networking Lite Model,Dummy Model - Used as a container to display punchins.,1,"liteCoreConnectEnterpriseCCE,
liteIQDeltaPort,
liteIQEnhanced,
liteIQInternational,
liteIQInternet,
liteIQPrivate,
liteIQPlusBasic,
liteIQPlusFinancial,
liteNetworkBasedSecurity,
liteNetworkManagementServiceNMS,
nwxIQNetworking,",,,hidden,modelCntnrIQNetworkingLite,,LEGACY-721075879
add,familyCenturyLink,lineCtlIQNetworking,IQ Networking Punchins,,1,"config_punchin_configureIQNetworking,
punchin_IQPlusBasic,
punchin_IQPlusFinancial,
ctlPunchinVPort",,,hidden,modelCntnrIQNetworking,,int1centurylink_729436238
add,familyCenturyLink,lineCtlIQNetworking,IQ Work In Progress,Model Container for in-flight initiatives,1,"newFlowStep1,
newFlowStep1MetroEthernet,
ctlPunchinIQNetworkingNewFlowStep1",,,shown,modelCntnrIQWorkInProgress,,1cd0a7f1-5d32-4da6-9e6b-4255b8b617a5
add,familyCenturyLink,lineCtlIQSecurity,IQ Security Lite Model,Dummy Model - Used as a container to display punchins.,1,"liteDDOSMitigation,
liteEmailSecurityAntiVirusAntiSpam,
liteIntrusionDetection,
liteIQManagedFirewall,
liteManagedSecurityServices,
liteNetworkSecurity,
litePerimeterCheck,
nwxManagedSecurityServices",,,hidden,modelCntnrIQSecurityLite,,LEGACY-721075881
add,familyCenturyLink,lineCtlITServices,IT Services Lite Model,Dummy Model - Used as a container to display punchins.,1,"liteApplicationDevelopmentAndManagementServices,
liteTestingServices,
liteRemoteInfrastructureMonitoringServices,
liteSystemsAndStrategicConsultingServices",,,hidden,modelCntnrITServicesLite,,LEGACY-721075883
